Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category
Outbound,546,LADY AYSE,9227871,Chornomorsk,Spain,Sunflower meal,"10,500",13-Dec-2022,21-Dec-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,547,LADY LAGUNA,9354040,Chornomorsk,Türkiye,Wheat,"18,100",13-Dec-2022,27-Dec-2022,upper-middle-income,Barbados,Europe & Central Asia,Asia-Pacific,developing
Outbound,548,MAVKA,9284647,Yuzhny/Pivdennyi,Romania,Sunflower oil,"6,250",13-Dec-2022,19-Dec-2022,high-income,Panama,Europe & Central Asia,Eastern Europe,developed
Outbound +,548,MAVKA,9284647,Yuzhny/Pivdennyi,Spain,Sunflower oil,"6,250",13-Dec-2022,19-Dec-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,549,RIDER,9017628,Odesa,Italy,Soya beans,"9,050",13-Dec-2022,20-Dec-2022,high-income,Palau,Europe & Central Asia,Western Europe and Others,developed
Outbound,550,SAKARYA,9257199,Yuzhny/Pivdennyi,Türkiye,Wheat,"29,000",13-Dec-2022,18-Dec-2022,upper-middle-income,Türkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,551,ADNAN TORLAK,9243253,Chornomorsk,Türkiye,Sunflower seed,"10,000",14-Dec-2022,22-Dec-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,552,MED PACIFIC,9461934,Chornomorsk,India,Sunflower oil,"19,000",14-Dec-2022,21-Dec-2022,lower-middle income,Malta,South Asia,Asia-Pacific,developing
Outbound,553,SELINA II,9208112,Chornomorsk,India,Sunflower oil,"35,000",14-Dec-2022,22-Dec-2022,lower-middle income,Liberia,South Asia,Asia-Pacific,developing
Outbound,554,YAF S,9437787,Yuzhny/Pivdennyi,Türkiye,Wheat,"5,500",14-Dec-2022,26-Dec-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,555,STAR EMERALD,9827384,Yuzhny/Pivdennyi,Indonesia,Wheat,"71,400",15-Dec-2022,28-Dec-2022,lower-middle income,Bahamas,East Asia & Pacific,Asia-Pacific,developing
Outbound,556,ALMERAY,9300910,Odesa,Libya,Corn,"32,400",16-Dec-2022,22-Dec-2022,upper-middle-income,St. Vincent and the Grenadines,Middle East & North Africa,Africa,developing
Outbound,557,FALCON S,9329423,Yuzhny/Pivdennyi,Türkiye,Sunflower seed,"19,000",17-Dec-2022,22-Dec-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,558,GULMAR,9146962,Odesa,Spain,Corn,"42,000",17-Dec-2022,23-Dec-2022,high-income,Türkiye,Europe & Central Asia,Western Europe and Others,developed
Outbound,559,KEREM,9126429,Chornomorsk,Türkiye,Wheat,"29,000",17-Dec-2022,27-Dec-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,560,NYMPHI,9615030,Odesa,Tunisia,Corn,"25,700",17-Dec-2022,28-Dec-2022,lower-middle income,Panama,Middle East & North Africa,Africa,developing
Outbound,561,AK HALIMA,9217826,Chornomorsk,Spain,Wheat,"11,100",18-Dec-2022,25-Dec-2022,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound +,561,AK HALIMA,9217826,Chornomorsk,Spain,Corn,"11,900",18-Dec-2022,25-Dec-2022,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,562,BARBAROS HAYRETTIN VARDAL,9282675,Odesa,Italy,Sunflower oil,"5,214",18-Dec-2022,24-Dec-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,563,LADY AYANA,9196395,Odesa,Italy,Corn,"27,000",18-Dec-2022,26-Dec-2022,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,564,BOSPHORUS ASIA,9250696,Chornomorsk,Tunisia,Corn,"30,500",19-Dec-2022,25-Dec-2022,lower-middle income,Liberia,Middle East & North Africa,Africa,developing
Outbound,565,CYCLADES,9799616,Yuzhny/Pivdennyi,Spain,Corn,"55,000",19-Dec-2022,25-Dec-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,566,INCE ATLANTIC,9222508,Odesa,Kenya,Wheat,"44,000",19-Dec-2022,24-Dec-2022,lower-middle income,Turkiye,Sub-Saharan Africa,Africa,developing
Outbound,567,PRINCESS MANISSA,9084217,Odesa,Libya,Corn,"20,500",19-Dec-2022,30-Dec-2022,upper-middle-income,St. Kitts and Navis,Middle East & North Africa,Africa,developing
Outbound,568,ULUSOY 8,9458250,Yuzhny/Pivdennyi,Türkiye,Soya beans,"21,000",19-Dec-2022,25-Dec-2022,upper-middle-income,Turkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,569,ACRA,9693410,Yuzhny/Pivdennyi,China,Corn,"60,066",20-Dec-2022,29-Dec-2022,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound +,569,ACRA,9693410,Yuzhny/Pivdennyi,China,Sunflower meal,"9,188",20-Dec-2022,29-Dec-2022,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,570,DIAS ,9248904,Odesa,China,Corn,"63,000",20-Dec-2022,28-Dec-2022,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,571,HALIM M,8606109,Odesa,Italy,Wheat,"11,000",20-Dec-2022,30-Dec-2022,high-income,Palau,Europe & Central Asia,Western Europe and Others,developed
