Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category
Outbound,12,RAHMI YAGCI,9550852,Chornomorsk,Türkiye,Sunflower meal,"5,300",9-Aug-2022,13-Aug-2022,upper-middle-income,Türkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,13,STAR LAURA,9328936,Yuzhny/Pivdennyi,Iran,Corn,"60,150",12-Aug-2022,14-Aug-2022,lower-middle income,Marshall Islands,Middle East & North Africa,Asia-Pacific,developing
Outbound,14,SORMOVSKIY 121,8133578,Chornomorsk,Türkiye,Wheat,"3,050",12-Aug-2022,15-Aug-2022,upper-middle-income,Belize,Europe & Central Asia,Asia-Pacific,developing
Outbound,15,FULMAR S,9370082,Chornomorsk,Türkiye,Corn,"12,000",13-Aug-2022,15-Aug-2022,upper-middle-income,Barbados,Europe & Central Asia,Asia-Pacific,developing
Outbound,16,THOE,9400588,Chornomorsk,Türkiye,Sunflower seed,"2,914",13-Aug-2022,16-Aug-2022,upper-middle-income,Marshall Islands,Europe & Central Asia,Asia-Pacific,developing
Outbound,17,OSPREY S,9300843,Chornomorsk,Türkiye,Corn,"11,500",16-Aug-2022,18-Aug-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,18,BONITA,9231286,Yuzhny/Pivdennyi,Republic of Korea,Corn,"60,000",16-Aug-2022,18-Aug-2022,high-income,Liberia,East Asia & Pacific,Asia-Pacific,developed
Outbound,19,RAMUS,9318400,Chornomorsk,Türkiye,Wheat,"6,161",16-Aug-2022,19-Aug-2022,upper-middle-income,Cook Islands,Europe & Central Asia,Asia-Pacific,developing
Outbound,20,BRAVE COMMANDER,9136931,Yuzhny/Pivdennyi,Ethiopia,Wheat,"23,300",16-Aug-2022,21-Aug-2022,low-income,Lebanon,Sub-Saharan Africa,Africa,developing
Outbound,21,PETREL S,9363883,Chornomorsk,The Netherlands,Sunflower meal,"18,500",17-Aug-2022,19-Aug-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,22,SARA,9259020,Odesa,Türkiye,Corn,"8,000",17-Aug-2022,19-Aug-2022,upper-middle-income,Palau,Europe & Central Asia,Asia-Pacific,developing
Outbound,23,EFE,9558763,Odesa,Türkiye,Sunflower oil,"7,250",17-Aug-2022,19-Aug-2022,upper-middle-income,Vanuatu,Europe & Central Asia,Asia-Pacific,developing
Outbound,24,PROPUS,9133757,Chornomorsk,Romania,Wheat,"9,111",18-Aug-2022,19-Aug-2022,high-income,Panama,Europe & Central Asia,Eastern Europe,developed
Outbound,25,I MARIA,8914697,Chornomorsk,Romania,Corn,"27,982",18-Aug-2022,22-Aug-2022,high-income,Belize,Europe & Central Asia,Eastern Europe,developed
Outbound,26,ZUMRUT ANA,9633549,Chornomorsk,Italy,Sunflower oil,"6,300",20-Aug-2022,22-Aug-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,27,OCEAN S,9086320,Chornomorsk,Türkiye,Wheat,"25,000",20-Aug-2022,22-Aug-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,28,FILYOZ,9407213,Chornomorsk,Türkiye,Sunflower oil,"5,000",21-Aug-2022,23-Aug-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,29,DA LIANG,9608415,Chornomorsk,Republic of Korea,Sugar beet pellets,"14,000",21-Aug-2022,23-Aug-2022,high-income,China,East Asia & Pacific,Asia-Pacific,developed
Outbound,30,FOYLE,9317676,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,"4,300",21-Aug-2022,23-Aug-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,31,KUBROSLI Y,8000836,Odesa,Türkiye,Wheat,"11,000",21-Aug-2022,24-Aug-2022,upper-middle-income,Comoros,Europe & Central Asia,Asia-Pacific,developing
Outbound,32,MARANTA,9206669,Chornomorsk,Greece,Corn,"5,300",22-Aug-2022,24-Aug-2022,high-income,Cook Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,33,GREAT ARSENAL,9159062,Chornomorsk,Egypt,Wheat,"25,500",22-Aug-2022,24-Aug-2022,lower-middle income,St. Vincent and the Grenadines,Middle East & North Africa,Africa,developing
Outbound,34,KAFKAM ETLER,9001112,Chornomorsk,Türkiye,Corn,"2,437",23-Aug-2022,25-Aug-2022,upper-middle-income,Türkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,35,GANOSAYA,9151400,Odesa,Lebanon,Corn,"16,500",24-Aug-2022,26-Aug-2022,lower-middle income,Cook Islands,Middle East & North Africa,Asia-Pacific,developing
Outbound,36,ZHE HAI 505,9567477,Odesa,The Netherlands,Rapeseed,"29,600",24-Aug-2022,26-Aug-2022,high-income,China,Europe & Central Asia,Western Europe and Others,developed
Outbound,37,BELLIS,9381952,Odesa,Israel,Soya beans,"6,000",25-Aug-2022,27-Aug-2022,high-income,Cook Islands,Middle East & North Africa,Western Europe and Others,developed
Outbound,38,ASCANIOS,9276169,Yuzhny/Pivdennyi,Germany,Corn,"58,510",25-Aug-2022,27-Aug-2022,high-income,Palau,Europe & Central Asia,Western Europe and Others,developed
Outbound,39,MOHAMAD Y,8107000,Odesa,Türkiye,Wheat,"11,000",25-Aug-2022,27-Aug-2022,upper-middle-income,St. Kitts and Nevis,Europe & Central Asia,Asia-Pacific,developing
Outbound,40,AVIVA,9410131,Chornomorsk,India,Sunflower oil,"19,100",26-Aug-2022,28-Aug-2022,lower-middle income,Marshall Islands,South Asia,Asia-Pacific,developing
Outbound,41,SEAEAGLE,9153056,Chornomorsk,Sudan,Wheat,"65,340",26-Aug-2022,28-Aug-2022,low-income,Malta,Sub-Saharan Africa,Africa,developing
Outbound,42,ZELEK STAR,9379117,Chornomorsk,Türkiye,Peas,"3,700",26-Aug-2022,29-Aug-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,43,PRETTY LADY,9223174,Chornomorsk,Egypt,Corn,"45,000",26-Aug-2022,29-Aug-2022,lower-middle income,Malta,Middle East & North Africa,Africa,developing
Outbound,44,ADNAN TORLAK,9243253,Chornomorsk,France,Rapeseed,"14,750",27-Aug-2022,29-Aug-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,45,ORIS SOFI,8920282,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,"5,900",27-Aug-2022,29-Aug-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,46,S BREEZE,9317145,Chornomorsk,Egypt,Corn,"44,000",27-Aug-2022,1-Sep-2022,lower-middle income,Liberia,Middle East & North Africa,Africa,developing
Outbound,47,SSI INVINCIBLE II,9434747,Chornomorsk,China,Barley,"49,500",28-Aug-2022,31-Aug-2022,upper-middle-income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,48,DS SOFIE BULKER,9310604,Odesa,Spain,Barley,"27,000",28-Aug-2022,31-Aug-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,49,SILVER LADY,9279367,Yuzhny/Pivdennyi,Italy,Corn,"39,494",28-Aug-2022,31-Aug-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,50,MELINA,9550424,Yuzhny/Pivdennyi,Romania,Corn,"27,500",28-Aug-2022,31-Aug-2022,high-income,Liberia,Europe & Central Asia,Eastern Europe,developed
Outbound,51,FPMC B 201,9468229,Odesa,Egypt,Wheat,"33,000",28-Aug-2022,1-Sep-2022,lower-middle income,Liberia,Middle East & North Africa,Africa,developing
Outbound,52,AEOLOS,9228382,Odesa,The Netherlands,Corn,"30,000",28-Aug-2022,2-Sep-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,53,ASH BALTIC,9606493,Odesa,Egypt,Corn,"11,000",29-Aug-2022,1-Sep-2022,lower-middle income,Marshall Islands,Middle East & North Africa,Africa,developing
Outbound,54,PEACE M,9086318,Odesa,Romania,Corn,"24,485",29-Aug-2022,1-Sep-2022,high-income,Palau,Europe & Central Asia,Eastern Europe,developed
Outbound,55,ANASTASIA,8926121,Chornomorsk,Türkiye,Wheat,"3,800",29-Aug-2022,4-Sep-2022,upper-middle-income,Palau,Europe & Central Asia,Asia-Pacific,developing
Outbound,56,SEAJOY,9213820,Chornomorsk,Spain,Corn,"64,215",30-Aug-2022,1-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,57,SAFFET AGA,9376282,Chornomorsk,Türkiye,Corn,"3,236",30-Aug-2022,1-Sep-2022,upper-middle-income,Palau,Europe & Central Asia,Asia-Pacific,developing
Outbound,58,MICHALIS,9545510,Odesa,Spain,Corn,"33,000",30-Aug-2022,1-Sep-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,59,LADY ZEHMA,9303431,Chornomorsk,Italy,Corn,"30,274",30-Aug-2022,3-Sep-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,60,KARTERIA,9236092,Yuzhny/Pivdennyi,Yemen,Wheat,"37,000",30-Aug-2022,3-Sep-2022,low-income,Malta,Middle East & North Africa,Asia-Pacific,developing
Outbound,61,SIMAS,9000314,Odesa,Italy,Wheat,"15,000",30-Aug-2022,4-Sep-2022,high-income,Türkiye,Europe & Central Asia,Western Europe and Others,developed
Outbound,62,LADY AILLAR,9550278,Yuzhny/Pivdennyi,Spain,Corn,"27,000",31-Aug-2022,5-Sep-2022,high-income,Belize,Europe & Central Asia,Western Europe and Others,developed
Outbound,63,MARAN ASTRONOMER,9581239,Yuzhny/Pivdennyi,The Netherlands,Corn,"74,500",31-Aug-2022,5-Sep-2022,high-income,Greece,Europe & Central Asia,Western Europe and Others,developed
Outbound,64,DAYTONA DYNAMIC,8914726,Odesa,Türkiye,Corn,"25,850",1-Sep-2022,4-Sep-2022,upper-middle-income,Comoros,Europe & Central Asia,Asia-Pacific,developing
Outbound,65,HAZAR S,9545467,Chornomorsk,Türkiye,Corn,"5,500",1-Sep-2022,4-Sep-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,66,HELGA,9444912,Odesa,Türkiye,Corn,"27,000",1-Sep-2022,5-Sep-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,67,ENEIDA,9198381,Chornomorsk,Türkiye,Corn,"8,560",1-Sep-2022,5-Sep-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound +,67,ENEIDA,9198381,Chornomorsk,Türkiye,Wheat,"35,470",1-Sep-2022,5-Sep-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,68,MASSA J,9224867,Yuzhny/Pivdennyi,Somalia,Wheat,"28,500",1-Sep-2022,7-Sep-2022,low-income,Barbados,Sub-Saharan Africa,Africa,developing
Outbound,69,CANGA STAR,9540039,Chornomorsk,France,Rapeseed,"7,000",2-Sep-2022,7-Sep-2022,high-income,Vanuatu,Europe & Central Asia,Western Europe and Others,developed
Outbound,70,MAVKA,9284647,Chornomorsk,Romania,Sunflower oil,"12,500",2-Sep-2022,5-Sep-2022,high-income,Panama,Europe & Central Asia,Eastern Europe,developed
Outbound,71,SPRING,8408650,Chornomorsk,Türkiye,Wheat,"8,500",2-Sep-2022,5-Sep-2022,upper-middle-income,Comoros,Europe & Central Asia,Asia-Pacific,developing
Outbound,72,KATSUYAMA,9274678,Chornomorsk,India,Sunflower oil,"21,000",2-Sep-2022,5-Sep-2022,lower-middle income,Marshall Islands,South Asia,Asia-Pacific,developing
Outbound,73,STELLA GS,9363285,Odesa,Israel,Corn,"30,300",2-Sep-2022,6-Sep-2022,high-income,Marshall Islands,Middle East & North Africa,Western Europe and Others,developed
Outbound,74,FULMAR S,9370082,Yuzhny/Pivdennyi,Bulgaria,Sunflower meal,"9,835",2-Sep-2022,5-Sep-2022,upper-middle-income,Barbados,Europe & Central Asia,Eastern Europe,developed
Outbound,75,SARA,9259020,Odesa,Türkiye,Wheat,"6,600",3-Sep-2022,7-Sep-2022,upper-middle-income,Palau,Europe & Central Asia,Asia-Pacific,developing
Outbound,76,LADY EVA,9008110,Chornomorsk,Greece,Wheat,"6,117",4-Sep-2022,7-Sep-2022,high-income,Togo,Europe & Central Asia,Western Europe and Others,developed
Outbound,77,CANOPUS,9401025,Yuzhny/Pivdennyi,India,Sunflower oil,"42,000",4-Sep-2022,6-Sep-2022,lower-middle income,Hong Kong,South Asia,Asia-Pacific,developing
Outbound,78,SEA DOLPHIN C,9486427,Yuzhny/Pivdennyi,The Netherlands,Rapeseed,"31,098",4-Sep-2022,6-Sep-2022,high-income,Portugal,Europe & Central Asia,Western Europe and Others,developed
Outbound,79,SEALOCK,8218380,Chornomorsk,Türkiye,Peas,"2,070",4-Sep-2022,9-Sep-2022,upper-middle-income,Tanzania,Europe & Central Asia,Asia-Pacific,developing
Outbound,80,MUBARIZ IBRAHIMOV,9575292,Odesa,Türkiye,Sunflower oil,"6,600",4-Sep-2022,9-Sep-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,81,MAINA,9699892,Yuzhny/Pivdennyi,Spain,Corn,"56,500",4-Sep-2022,7-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,82,GEN. POLAD HASHIMOV,9575307,Chornomorsk,Türkiye,Sunflower oil,"6,450",4-Sep-2022,7-Sep-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,83,BC CALLISTO,9400916,Chornomorsk,Egypt,Wheat,"31,400",4-Sep-2022,9-Sep-2022,lower-middle income,Barbados,Middle East & North Africa,Africa,developing
Outbound,84,MRC LINA,9462299,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,"7,800",4-Sep-2022,7-Sep-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,85,LADY PERLA,9149732,Yuzhny/Pivdennyi,Italy,Corn,"20,500",4-Sep-2022,7-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,86,AFANASIY MATYSHENKO,8227783,Chornomorsk,Türkiye,Wheat,"3,000",4-Sep-2022,9-Sep-2022,upper-middle-income,Ukraine,Europe & Central Asia,Asia-Pacific,developing
Outbound,87,NORD VIRGO,9711937,Yuzhny/Pivdennyi,China,Corn,"62,340",4-Sep-2022,9-Sep-2022,upper-middle-income,Panama,East Asia & Pacific,Asia-Pacific,developing
Outbound,88,GOLDEN YARA,8915299,Yuzhny/Pivdennyi,Türkiye,Wheat,"13,500",5-Sep-2022,10-Sep-2022,upper-middle-income,Comoros,Europe & Central Asia,Asia-Pacific,developing
Outbound,89,MY MERAY,9000302,Chornomorsk,Egypt,Corn,"30,000",5-Sep-2022,10-Sep-2022,lower-middle income,Belize,Middle East & North Africa,Africa,developing
Outbound,90,BARON,7352476,Odesa,Türkiye,Corn,"5,750",5-Sep-2022,10-Sep-2022,upper-middle-income,Equatorial Guinea,Europe & Central Asia,Asia-Pacific,developing
Outbound,91,IRMGARD,9590967,Odesa,Türkiye,Wheat,"27,500",6-Sep-2022,11-Sep-2022,upper-middle-income,Cayman Islands,Europe & Central Asia,Asia-Pacific,developing
Outbound +,91,IRMGARD,9590967,Odesa,Türkiye,Corn,"7,179",6-Sep-2022,11-Sep-2022,upper-middle-income,Cayman Islands,Europe & Central Asia,Asia-Pacific,developing
Outbound,92,QUEEN SARA,9132507,Chornomorsk,Egypt,Corn,"11,091",6-Sep-2022,11-Sep-2022,lower-middle income,Sierra Leone,Middle East & North Africa,Africa,developing
Outbound,93,ORIS PRINCESS,9119907,Chornomorsk,Israel,Sunflower meal,"4,510",6-Sep-2022,12-Sep-2022,high-income,Panama,Middle East & North Africa,Western Europe and Others,developed
Outbound,94,NEW LEVANT,9111371,Odesa,Türkiye,Wheat,"26,500",6-Sep-2022,10-Sep-2022,upper-middle-income,Belize,Europe & Central Asia,Asia-Pacific,developing
Outbound,95,VITIS,9000613,Yuzhny/Pivdennyi,Italy,Sunflower oil,"5,800",6-Sep-2022,10-Sep-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,96,OCMIS ADVENTURE,8919831,Yuzhny/Pivdennyi,Greece,Corn,"4,862",6-Sep-2022,10-Sep-2022,high-income,Palau,Europe & Central Asia,Western Europe and Others,developed
Outbound,97,SEAGUARDIAN,9174268,Yuzhny/Pivdennyi,Spain,Sunflower meal,"8,640",7-Sep-2022,12-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound +,97,SEAGUARDIAN,9174268,Yuzhny/Pivdennyi,Spain,Barley,"34,071",7-Sep-2022,12-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound +,97,SEAGUARDIAN,9174268,Yuzhny/Pivdennyi,Spain,Wheat,"20,095",7-Sep-2022,12-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,98,SUPER HENRY,9407483,Odesa,Kenya,Wheat,"51,400",7-Sep-2022,22-Sep-2022,lower-middle income,Panama,Sub-Saharan Africa,Africa,developing
Outbound,99,ELIANA,9327310,Chornomorsk,Türkiye,Sunflower oil,"5,200",7-Sep-2022,11-Sep-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,100,KAPTAN CEVDET,9005895,Chornomorsk,Türkiye,Soya beans,"2,472",7-Sep-2022,12-Sep-2022,upper-middle-income,Türkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,101,JASMIN QUEEN,9109861,Odesa,Türkiye,Corn,"9,531",8-Sep-2022,12-Sep-2022,upper-middle-income,Cameroon,Europe & Central Asia,Asia-Pacific,developing
Outbound,102,CAPTAIN ADAM 1,8914087,Chornomorsk,Türkiye,Wheat,"9,300",8-Sep-2022,12-Sep-2022,upper-middle-income,Tanzania,Europe & Central Asia,Asia-Pacific,developing
Outbound,103,DIGNITY,9118238,Chornomorsk,Türkiye,Sunflower seed,"8,200",8-Sep-2022,12-Sep-2022,upper-middle-income,Comoros,Europe & Central Asia,Asia-Pacific,developing
Outbound,104,FILYOZ,9407213,Odesa,Türkiye,Sunflower oil,"4,410",8-Sep-2022,12-Sep-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,105,SANTANA,9449388,Odesa,Italy,Wheat,"10,000",8-Sep-2022,12-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,106,KIRAN AMERICA,9491264,Chornomorsk,China,Barley,"30,000",9-Sep-2022,14-Sep-2022,upper-middle-income,Malta,East Asia & Pacific,Asia-Pacific,developing
Outbound +,106,KIRAN AMERICA,9491264,Chornomorsk,China,Corn,"20,000",9-Sep-2022,14-Sep-2022,upper-middle-income,Malta,East Asia & Pacific,Asia-Pacific,developing
Outbound,107,SUPER BAYERN,9278911,Yuzhny/Pivdennyi,Egypt,Corn,"33,000",9-Sep-2022,13-Sep-2022,lower-middle income,Barbados,Middle East & North Africa,Africa,developing
Outbound,108,SEVIL,9148518,Chornomorsk,Romania,Rapeseed,"4,700",9-Sep-2022,13-Sep-2022,high-income,Vanuatu,Europe & Central Asia,Eastern Europe,developed
Outbound,109,EAUBONNE,9663104,Odesa,Spain,Corn,"32,794",10-Sep-2022,16-Sep-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound +,109,EAUBONNE,9663104,Odesa,Spain,Wheat,"13,853",10-Sep-2022,16-Sep-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound +,109,EAUBONNE,9663104,Odesa,Spain,Barley,"10,853",10-Sep-2022,16-Sep-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,110,LUCKY,9037305,Yuzhny/Pivdennyi,Greece,Corn,"6,000",10-Sep-2022,14-Sep-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound +,110,LUCKY,9037305,Yuzhny/Pivdennyi,Greece,Barley,"4,400",10-Sep-2022,14-Sep-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,111,PRINCESS AMNAH,9008067,Chornomorsk,Italy,Wheat,"6,000",10-Sep-2022,13-Sep-2022,high-income,Sierra Leone,Europe & Central Asia,Western Europe and Others,developed
Outbound,112,A LINE,9246920,Chornomorsk,Egypt,Corn,"10,700",10-Sep-2022,13-Sep-2022,lower-middle income,Vanuatu,Middle East & North Africa,Africa,developing
Outbound,113,LADY SHAM,9171383,Odesa,Italy,Sunflower seed,"5,600",10-Sep-2022,14-Sep-2022,high-income,Sierra Leone,Europe & Central Asia,Western Europe and Others,developed
Outbound,114,BRIZA,9286815,Chornomorsk,Greece,Corn,"6,500",11-Sep-2022,15-Sep-2022,high-income,Cook Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,115,MAGNOLIA,9575333,Chornomorsk,Türkiye,Sunflower oil,"6,600",11-Sep-2022,16-Sep-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,116,S-BRILLIANT,9275323,Chornomorsk,The Netherlands,Rapeseed,"40,220",11-Sep-2022,15-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,117,AHMET CAN,9368182,Chornomorsk,Türkiye,Wheat bran pellets,"2,800",12-Sep-2022,16-Sep-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,118,SALLY M,9152844,Chornomorsk,Lebanon,Corn,"6,857",12-Sep-2022,17-Sep-2022,lower-middle income,Panama,Middle East & North Africa,Asia-Pacific,developing
Outbound,119,NORD STARK,9691591,Chornomorsk,Spain,Wheat,"27,500",12-Sep-2022,17-Sep-2022,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,120,ORIS SOFI,8920282,Odesa,Türkiye,Sunflower oil,"3,026",12-Sep-2022,15-Sep-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound +,120,ORIS SOFI,8920282,Odesa,Lebanon,Sunflower oil,"2,973",12-Sep-2022,15-Sep-2022,lower-middle income,Panama,Middle East & North Africa,Asia-Pacific,developing
Outbound,121,HADAR,9615028,Yuzhny/Pivdennyi,Italy,Wheat,"23,500",12-Sep-2022,16-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound +,121,HADAR,9615028,Yuzhny/Pivdennyi,Italy,Corn,"3,500",12-Sep-2022,16-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,122,WIN SINO,9278519,Yuzhny/Pivdennyi,India,Sunflower oil,"43,500",12-Sep-2022,17-Sep-2022,lower-middle income,Hong Kong,South Asia,Asia-Pacific,developing
Outbound,123,SUPER SAKA,9456551,Odesa,Spain,Wheat,"29,000",13-Sep-2022,18-Sep-2022,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound +,123,SUPER SAKA,9456551,Odesa,Spain,Corn,"21,000",13-Sep-2022,18-Sep-2022,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,124,YASA TEAM,9296250,Yuzhny/Pivdennyi,Israel,Corn,"64,951",13-Sep-2022,18-Sep-2022,high-income,Marshall Islands,Middle East & North Africa,Western Europe and Others,developed
Outbound,125,PROPUS,9133757,Odesa,Türkiye,Corn,"8,500",13-Sep-2022,18-Sep-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,126,FANARIA,9228241,Odesa,Spain,Wheat,"18,000",13-Sep-2022,17-Sep-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,127,SAFFET AGA,9376282,Odesa,Türkiye,Soya beans,"3,300",13-Sep-2022,18-Sep-2022,upper-middle-income,Palau,Europe & Central Asia,Asia-Pacific,developing
Outbound,128,ATA OCEAN,9519614,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,"6,300",13-Sep-2022,18-Sep-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,129,GREIFSWALD,8311912,Chornomorsk,Türkiye,Corn,492,13-Sep-2022,18-Sep-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,130,TAMREY S,9171541,Odesa,Italy,Corn,"18,100",14-Sep-2022,22-Sep-2022,high-income,Türkiye,Europe & Central Asia,Western Europe and Others,developed
Outbound +,130,TAMREY S,9171541,Odesa,Italy,Soya beans,"5,500",14-Sep-2022,22-Sep-2022,high-income,Türkiye,Europe & Central Asia,Western Europe and Others,developed
Outbound +,130,TAMREY S,9171541,Odesa,Italy,Wheat,"5,400",14-Sep-2022,22-Sep-2022,high-income,Türkiye,Europe & Central Asia,Western Europe and Others,developed
Outbound,131,MARANTA,9206669,Odesa,Italy,Soya beans,"5,300",14-Sep-2022,18-Sep-2022,high-income,Cook Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,132,CPT DIMITRIOS S,9221592,Yuzhny/Pivdennyi,Spain,Corn,"56,800",14-Sep-2022,19-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound +,132,CPT DIMITRIOS S,9221592,Yuzhny/Pivdennyi,Spain,Barley,"8,543",14-Sep-2022,19-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,133,T-MED,9163142,Yuzhny/Pivdennyi,Türkiye,Wheat,"5,500",14-Sep-2022,19-Sep-2022,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,134,INCE AKDENIZ,9456460,Yuzhny/Pivdennyi,Bangladesh,Wheat,"55,000",14-Sep-2022,22-Sep-2022,lower-middle income,Singapore,South Asia,Asia-Pacific,developing
Outbound,135,GLORY DINA,9464522,Chornomorsk,Türkiye,Wheat,"27,000",14-Sep-2022,18-Sep-2022,upper-middle-income,Bahamas,Europe & Central Asia,Asia-Pacific,developing
Outbound,136,CENK CAR,8611984,Chornomorsk,Türkiye,Sunflower seed,180,14-Sep-2022,18-Sep-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound +,136,CENK CAR,8611984,Chornomorsk,Türkiye,Sunflower meal,68,14-Sep-2022,18-Sep-2022,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,137,ASTRA CENTAURUS,9611802,Chornomorsk,Spain,Wheat,"55,000",15-Sep-2022,20-Sep-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,138,DERG,9393060,Chornomorsk,The Netherlands,Sunflower oil,"3,600",15-Sep-2022,20-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound +,138,DERG,9393060,Chornomorsk,United Kingdom,Sunflower oil,"6,000",15-Sep-2022,20-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,139,EIDER S,9364784,Yuzhny/Pivdennyi,Spain,Corn,"50,855",15-Sep-2022,30-Sep-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,140,KAN 2,9154268,Odesa,Libya,Corn,"11,000",15-Sep-2022,20-Sep-2022,upper-middle-income,Tuvalu,Middle East & North Africa,Africa,developing
Outbound +,140,KAN 2,9154268,Odesa,Libya,Barley,"2,981",15-Sep-2022,20-Sep-2022,upper-middle-income,Tuvalu,Middle East & North Africa,Africa,developing
Outbound,141,LARA S,9334301,Odesa,Italy,Sunflower oil,"5,750",15-Sep-2022,20-Sep-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
